Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET
146944,105056984,120.1990605,29.28155597,8.597702798,-116.2604152,30.5177,-2.04747,0.285595,1,24.1004,-2.88509
146944,299642356,163.1075352,20.59267846,19.8714439,160.5775057,28.617,2.42577,0.767576,1,10.649,-1.18449
146944,301991840,37.78946793,-26.00315252,18.30299813,20.41764446,31.7988,0.604579,2.52827,1,33.7171,-0.966639
146944,392036826,154.2112216,48.13371981,-11.20405449,146.0777705,49.4205,1.80438,-0.228697,1,4.82009,-1.01451
146944,392404425,65.31226427,35.59904855,-11.36474274,53.56530808,37.3691,1.15725,-0.309016,1,39.4777,2.78373
146944,392471827,38.78076368,-25.34849224,26.10619098,-13.41150122,36.3879,-0.360698,2.34147,-1,36.3197,-0.452905
146944,400612841,93.54622264,54.38380886,31.8842726,69.11360404,63.0413,0.947871,0.530272,-1,39.7156,2.91954
146944,402443966,206.5807428,-41.70941147,-20.47574589,201.2875359,46.4643,2.17226,-2.68524,1,26.5143,0.569109
146944,403728157,106.1721968,-20.5013297,23.15144178,-101.5689008,30.924,-1.90476,2.29556,1,35.0589,-0.825655
146944,405078350,172.0851594,-27.55857304,-11.8702608,-169.4488833,30.0063,-2.43204,-2.73488,1,28.6867,0.722491