Type,Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
GT,146511,25232081,6.9796,-5.7026,-2.07166,-3.4485,6.06724,-0.541523,-2.79313,-1,3.88534,1.6817,-0.582401,3.45215,1.77969,1.41636,-0.333389,-1
GT,146511,25296856,18.7401,-3.96976,-0.761947,-18.2986,4.04222,-2.21516,-2.95196,-1,4.66726,2.80004,2.44078,-2.82392,3.71452,-0.701318,0.716955,-1
GT,146511,25343052,7.3339,2.06042,5.8858,-3.85836,6.23602,-0.584812,1.23406,-1,5.20755,-1.55016,-1.81976,4.62525,2.3905,1.41411,-2.27636,1
GG,146511,25369949,8.38758,5.16418,-0.400197,6.59632,5.17966,1.06219,-0.0773402,-1,8.93619,-5.55505,-4.12371,5.65516,6.91835,0.746209,-2.50301,1
GG,146511,25381558,30.6506,-6.65354,1.32729,-29.8901,6.78464,-2.18865,2.94469,-1,23.9181,1.91675,5.71705,-23.1453,6.0298,-2.05478,1.2473,1
GG,146511,25391068,6.59462,5.24651,2.16082,3.359,5.67407,0.561945,0.390686,1,7.43461,-5.06069,4.40801,3.19704,6.71127,0.459977,2.42502,-1
GT,146511,25464415,11.3261,-3.4518,10.5825,-2.08927,11.1312,-0.18661,1.8861,1,3.05197,-0.486025,-0.483425,2.97211,0.685507,2.17306,-2.35888,-1
GG,146511,25541127,10.442,1.92458,-2.80194,9.87262,3.39924,1.78776,-0.968935,-1,12.7242,-7.00797,3.94517,9.85996,8.04214,1.03254,2.62886,1
GT,146511,25819132,11.2149,-6.42609,-8.65694,-3.08651,10.7813,-0.28251,-2.20935,-1,9.288,0.547969,-2.38497,-8.95921,2.44711,-2.00907,-1.34496,1
GT,146511,25967637,10.5642,-7.77763,-4.28927,-5.71851,8.88197,-0.606047,-2.63761,-1,3.6621,0.531619,0.589255,3.57351,0.793625,2.20995,0.836773,-1